iter	Passed	Remaining
292	1021	2463
293	1023	2457
294	1025	2450
295	1027	2443
296	1029	2436
297	1031	2429
298	1033	2422
299	1037	2421
300	1039	2414
301	1041	2407
302	1043	2400
303	1045	2393
304	1047	2386
305	1049	2380
306	1053	2376
307	1055	2370
308	1056	2363
309	1059	2357
310	1061	2351
311	1063	2344
312	1066	2341
313	1069	2336
314	1071	2329
315	1073	2322
316	1074	2315
317	1076	2308
318	1078	2302
319	1080	2295
320	1082	2290
321	1084	2284
322	1086	2277
323	1088	2271
324	1090	2264
325	1092	2258
326	1094	2251
327	1097	2249
328	1100	2244
329	1102	2237
330	1104	2231
331	1105	2225
332	1107	2218
333	1109	2212
334	1111	2207
335	1114	2202
336	1116	2196
337	1118	2189
338	1121	2186
339	1123	2180
340	1125	2174
341	1128	2171
342	1130	2165
343	1132	2159
344	1134	2153
345	1135	2147
346	1137	2141
347	1139	2134
348	1141	2129
349	1143	2124
350	1145	2118
351	1147	2112
352	1149	2107
353	1151	2102
354	1153	2096
355	1155	2090
356	1158	2085
357	1160	2080
358	1162	2075
359	1164	2069
360	1166	2064
361	1168	2058
362	1169	2053
363	1173	2050
364	1175	2045
365	1177	2039
366	1179	2034
367	1181	2028
368	1183	2024
369	1185	2018
370	1188	2015
371	1190	2010
372	1192	2004
373	1194	1999
374	1196	1993
375	1198	1988
376	1200	1983
377	1203	1979
378	1205	1975
379	1207	1970
380	1209	1965
381	1211	1959
382	1213	1954
383	1215	1949
384	1218	1946
385	1221	1942
386	1222	1937
387	1224	1932
388	1226	1926
389	1228	1921
390	1230	1916
391	1232	1911
392	1234	1907
393	1237	1902
394	1239	1897
395	1241	1893
396	1243	1888
397	1245	1883
398	1248	1879
399	1250	1875
400	1252	1871
401	1255	1866
402	1257	1862
403	1259	1857
404	1261	1852
405	1264	1850
406	1267	1846
407	1269	1841
408	1271	1836
409	1272	1831
410	1274	1826
411	1276	1821
412	1279	1819
413	1282	1815
414	1284	1810
415	1285	1805
416	1287	1800
417	1290	1797
418	1292	1792
419	1295	1789
420	1298	1785
421	1300	1780
422	1303	1778
423	1305	1773
424	1307	1768
425	1313	1770
426	1315	1765
427	1317	1760
428	1321	1759
429	1323	1754
430	1328	1753
431	1331	1751
432	1333	1746
433	1335	1741
